 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining or potting date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density (g/ml),Tested on,# Fibers N,Good end,ABS N-W (%),LT,10-15(%),15-50(%),50-75(%),r75 (%),R,Tower 1,Tower 2,Tower 3,Tower 4, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Scintillation ratio,Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Final Block Grade,Dens grade,Dim grade,LT grade,Tower grade,Vi,Scint grade,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
F36,2,19,fudan,,9/1/2020,UIUC tested; chipped corner,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.72,20200930,2667,,,99.96,,,,,,102.7,98.05,100.75,98.35,,,,,,,,,1.182,,,,,,,,,16B19,,,,5a,5aa,5a,5aa,5aa,,,FALSE,FALSE,5a,F36,1,6,B,19,,0.01,-0.25,0.15,-0.22,-0.03,0.27,-0.07
F37,,20,,,11/28/2020,,,I-K,,,,,,HS,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.80,,2666,,,99.93,,,,,,101.5,103,97,96.55,,,,,,,,,1.090,,,,,,,,,14A20,,,,5a,5aa,5a,5aa,5a,,5aa,,,,F37,1,4,A,20,,0.12,-0.03,0.26,-0.02,-0.01,0.34,0.09
F38,2,21,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/20/2020,,,8/20/2020,,,,,,,,,,AW,0,AW,9.68,20200930,2666,,,99.93,,,,,,99.85,100,99.85,100,,,,,,,,,1.637,,,,,,,,,13A21,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F38,1,3,A,21,,-0.08,-0.13,0.11,-0.15,-0.13,0.05,-0.14
F39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F39,,,,,,,,,,,,
F40,,24,,,11/28/2020,,,I-K,,,,,,HS,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.86,,2668,,,100.00,,,,,,100.75,102.7,98.5,97,,,,,,,,,1.120,,,,,,,,,15C24,,,,5a,5aa,5a,5aa,5aa,,5aa,,,,F40,1,5,C,24,,0.17,0.44,0.3,-0.03,0.26,0.32,0.08
F41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F41,,,,,,,,,,,,
F42,,24,,,11/28/2020,,,K,,,,,,HS,,,,,,,,,,,,,,8/9/2020,,,8/9/2020,,,,,,,,,,,0,,9.45,,2661,,,99.74,,,,,,99.55,102.7,94.75,100.6,,,,,,,,,0.930,,,,,,,,,17A24,,,,5b,5aa,5a,5aa,5b,,5aa,,,,F42,1,7,A,24,,0.04,0.02,0.31,0.17,0.08,0.27,0.06
F43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F43,,,,,,,,,,,,
F44,,24,,,11/28/2020,,,K,,,,,,HS,,,,,,,,,,,,,,10/20/2020,,,10/20/2020,,,,,,,,,,,0,,9.49,,2662,,,99.78,,,,,,104.65,101.2,98.5,95.05,,,,,,,,,1.100,,,,,,,,,16D24,,,,5b,5aa,5aa,5aa,5b,,5aa,,,,F44,1,6,D,24,,0.03,-0.21,0.07,-0.13,-0.06,0.18,0.18
F45,2,22,fudan,,9/1/2020,UIUC tested,Sector 1-12,K,,,,,,HS,,,,,,,,,,,,,,8/1/2020,,,8/1/2020,,,,,,,,,,AW,0,AW,9.32,20200930,2665,,,99.89,,,,,,102.55,97.15,100.75,98.5,,,,,,,,,1.593,,,,,,,,,13D22,,,,5aa,5aa,5aa,5aa,5aa,,,FALSE,FALSE,5a,F45,1,3,D,22,,0,-0.14,0.16,0.1,-0.02,0.2,-0.15
