 DBN,Don't edit Block occurance,BL,Status,BNL shipment,Shipping date,Comment,Sector,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSBBR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
2010,11,123,7,25,10/26/2020,,13,SG47,21-A,0.50,6/28/2019,Mason,Emily,HCS,HCS-46,5E,1185,4900,3715,SA,10/1/2020,SA,8,110,25,d40g,2,10/1/2020,ET,8,10/9/2020,AW,5.4980,2.0750,2.0720,1.9880,1.8230,1.8180,1.9920,349.1,AW,3148,AW,9.02,20201009,2659,W,0.1125,99.66,0.0000,0.3009,2.9334,3.2,0.118,99.8501,101.499,99.5502,97.7511,N,N,,,Mason,20201014.2,253.211,237.512,1.066,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,13B2,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2010,1,3,B,2,0.999,-0.0508,-0.254,-0.3302,-0.0254,0.2032,0.0762,0.0762
2011,12,123,7,25,10/26/2020,,13,SG47,21-A,1.20,7/1/2019,Joseph,Mason,HCS,HCS-48,5A,1185,4810,3625,SA,10/12/2020,VM,8,110,25,d40g,2.5,10/13/2020,ET,7,10/20/2020,AW,5.4990,2.0850,2.0840,1.9930,1.8250,1.8140,1.9920,350.5,AW,3116,AW,8.89,20201020,2646,W,0.1124,99.18,0.0378,0.2646,2.3054,2.6,0.121,98.9505,99.7001,99.4003,98.6507,N,N,,,Mason,20201021,325.032,269.076,1.208,Zander,20201021,20201021,Will,,Adin,Adin,Mason,13C2,10/21/2020,1,10/21/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2011,1,3,C,2,0.975,-0.0254,0,-0.0254,0.1016,0.254,-0.0254,0.0762
2012,13,123,7,25,10/26/2020,,13,SG47,21-A,1.00,7/1/2019,Joseph,Mason,HCS,HCS-47,5C,1190,5040,3850,SA,10/5/2020,SA,8,110,25,d40g,2.5,10/6/2020,ET,3,10/9/2020,AW,5.5000,2.0950,2.0880,1.9920,1.8130,1.8050,1.9890,350.0,AW,3184,AW,9.10,20201009,2661,W,0.2249,99.74,0.0752,0.3758,2.0669,2.5,0.110,99.7001,100,99.7001,99.5502,N,N,,,Mason,20201014.2,302.752,237.512,1.275,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,13D2,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2012,1,3,D,2,1.035,0,0.254,0.0762,0.0762,-0.0508,-0.254,0
2013,14,123,7,25,10/26/2020,,15,SG47,21-A,0.18,7/1/2019,Emily,Mason,HCS,HCS-48,5E,1195,4685,3490,SA,10/12/2020,VM,8,110,25,d40g,2,10/13/2020,ET,7,10/20/2020,AW,5.4980,2.0780,2.0750,1.9880,1.8190,1.8120,1.9930,349.0,AW,3080,AW,8.82,20201020,2663,W,0.4123,99.81,0.1127,1.3519,6.4213,7.9,0.155,100.3,99.5502,99.5502,99.8501,N,N,,,Mason,20201021,407.28,269.076,1.514,Zander,20201021,20201021,Will,,Adin,Adin,Mason,15D1,10/21/2020,1,10/21/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2013,1,5,D,1,0.938,-0.0508,-0.1778,-0.254,-0.0254,0.1016,-0.0762,0.1016
2014,15,123,7,25,10/26/2020,,14,SG47,21-A,0.60,7/1/2019,Mason,Emily,HCS,HCS-46,5F,1185,4950,3765,SA,10/1/2020,SA,8,110,25,d40g,1.5,10/1/2020,ET,8,10/9/2020,AW,5.5000,2.0830,2.0700,1.9920,1.8090,1.8180,1.9920,349.3,AW,3162,AW,9.05,20201009,2654,W,0.1125,99.48,0.0377,0.6405,3.2027,3.9,0.127,99.4003,100.9,99.1004,98.5007,N,N,,,Mason,20201014.1,314.112,237.512,1.323,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,14D1,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2014,1,4,D,1,1.012,0,-0.0508,-0.381,0.0762,-0.1524,0.0762,0.0762
2015,16,123,7,25,10/26/2020,,14,SG47,21-A,0.20,7/1/2019,Emily,Mason,HCS,HCS-47,5A,1185,4890,3705,SA,10/5/2020,SA,8,110,25,d40g,1.5,10/6/2020,ET,3,10/9/2020,AW,5.4990,2.0940,2.0880,1.9950,1.8210,1.8150,1.9920,351.2,AW,3176,AW,9.04,20201009,2653,N,0.1874,99.44,0.1131,0.4146,2.7139,3.2,0.110,98.2009,101.649,97.4513,100.45,N,N,,,Mason,20201014.2,277.877,237.512,1.170,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,14A2,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2015,1,4,A,2,0.996,-0.0254,0.2286,0.0762,0.1524,0.1524,0,0.0762
2016,17,123,7,25,10/26/2020,,13,SG47,21-A,0.18,7/1/2019,Emily,Joseph,HCS,HCS-47,5D,1185,4870,3685,SA,10/5/2020,SA,8,110,25,d40g,1.5,10/6/2020,ET,3,10/9/2020,AW,5.5000,2.0840,2.0880,1.9940,1.8200,1.8100,1.9910,350.4,AW,3176,AW,9.07,20201009,2654,W,0.1500,99.48,0.0377,0.3391,1.2057,1.6,0.096,98.9505,100,99.2504,99.7001,N,N,,,Mason,20201014.1,287.811,237.512,1.212,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,13A3,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2016,1,3,A,3,0.991,0,-0.0254,0.0762,0.127,0.127,-0.127,0.0508
2017,18,123,7,25,10/26/2020,,13,SG47,21-A,0.19,7/1/2019,Emily,Mason,HCS,HCS-47,5E,1185,4930,3745,SA,10/5/2020,SA,8,110,25,d40g,1.5,10/6/2020,ET,3,10/9/2020,AW,5.5010,2.0800,2.0700,1.9950,1.8230,1.8200,1.9910,350.1,AW,3160,AW,9.03,20201009,2658,W,0.1499,99.63,0.0376,0.3386,3.2731,3.6,0.115,99.8501,101.049,99.2504,98.3508,N,N,,,Mason,20201014.2,287.273,237.512,1.210,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,13B3,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2017,1,3,B,3,1.007,0.0254,-0.127,-0.381,0.1524,0.2032,0.127,0.0508
2018,19,123,7,25,10/26/2020,,13,SG47,21-A,1.00,7/1/2019,Chirag,Emily,HCS,HCS-48,5F,1195,4900,3705,SA,10/12/2020,VM,8,110,25,d40g,2,10/13/2020,ET,7,10/20/2020,AW,5.5020,2.0740,2.0750,1.9900,1.8180,1.8110,1.9920,349.1,AW,3140,AW,8.99,20201020,2654,W,0.1500,99.48,0.0377,0.2638,3.4288,3.7,0.117,99.5502,99.8501,99.1004,99.4003,N,N,,,Mason,20201021,384.426,269.076,1.429,Zander,20201021,20201021,Will,,Adin,Adin,Mason,13C3,10/21/2020,1,10/21/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2018,1,3,C,3,0.996,0.0508,-0.2794,-0.254,0.0254,0.0762,-0.1016,0.0762
2019,20,123,7,26,11/2/2020,,14,SG47,21-A,0.20,7/1/2019,Emily,Mason,HCS,HCS-49,5E,1195,4865,3670,SA,10/16/2020,SA,8,110,25,d40g,2,10/16/2020,ET,6,10/22/2020,AW,5.5000,2.0780,2.0780,1.9880,1.8140,1.8200,1.9940,349.5,AW,3176,AW,9.09,20201022,2663,W,0.0375,99.81,0.0000,0.1502,0.9763,1.1,0.082,99.8501,99.8501,99.5502,100,N,N,,,Erin,20201023.1,402.225,288.064,1.396,Erin,20201023,20201023,Erin,,Adin,Adin,Adin,14B2,10/23/2020,1,10/23/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2019,1,4,B,2,0.987,0,-0.1778,-0.1778,-0.0254,-0.0254,0.127,0.127
2020,21,123,7,26,11/2/2020,,14,SG47,21-A,0.50,7/1/2019,Mason,Emily,HCS,HCS-47,5E,1190,4940,3750,SA,10/7/2020,SA,8,110,25,d40g,2,10/8/2020,ET,7,10/15/2020,AW,5.5010,2.0820,2.0800,1.9950,1.8190,1.8180,1.9920,350.5,AW,3222,AW,9.19,20201015,2661,W,0.2249,99.74,0.0376,0.2255,0.5261,0.8,0.079,100.45,99.8501,99.5502,99.1004,N,N,,,Mina,20201015.2,237.024,179.794,1.318,Adin,20201016.1,20201015,Mina,,Adin,Adin,Adin,14C2,10/15/2020,0,10/16/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2020,1,4,C,2,1.008,0.0254,-0.0762,-0.127,0.1524,0.1016,0.0762,0.0762
2021,22,123,7,26,11/2/2020,,15,SG47,21-A,0.20,7/1/2019,Emily,Mason,HCS,HCS-49,5F,1190,4935,3745,SA,10/16/2020,SA,8,110,25,d40g,2,10/16/2020,ET,6,10/22/2020,AW,5.5000,2.0820,2.0770,1.9930,1.8160,1.8200,1.9960,350.4,AW,3198,AW,9.13,20201022,2663,W,0.1874,99.81,0.0376,0.3755,0.5257,0.9,0.081,101.049,98.9505,99.8501,99.4003,N,N,,,Erin,20201023.1,427.407,288.064,1.484,Erin,20201023,20201023,Erin,,Adin,Adin,Adin,15A3,10/23/2020,1,10/23/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2021,1,5,A,3,1.007,0,-0.0762,-0.2032,0.1016,0.0254,0.127,0.1778
2022,23,123,7,25,10/26/2020,,13,SG47,21-A,0.23,7/1/2019,Emily,Mason,HCS,HCS-47,5F,1180,4990,3810,SA,10/5/2020,SA,8,110,25,d40g,2,10/6/2020,ET,3,10/9/2020,AW,5.5020,2.0800,2.0780,1.9940,1.8110,1.8040,1.9910,349.2,AW,3188,AW,9.13,20201009,2657,W,0.0000,99.59,0.0000,0.3011,1.5431,1.8,0.103,99.7001,100,99.4003,99.2504,N,N,,,Mason,20201014.2,316.477,237.512,1.332,Zander,20201014,20201014,Mason,,Adin,Mina,Mina,13D3,10/14/2020,5,10/14/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2022,1,3,D,3,1.024,0.0508,-0.127,-0.1778,0.127,-0.1016,-0.2794,0.0508
2023,24,123,7,38,3/22/2021,,22,SG47,21-A,0.40,7/1/2019,Mason,Emily,HCS,HCS-67,8E,1175,4975,3800,SA,2/24/2021,JL,9,110,25,d40g,2,2/24/2021,ET,16,3/12/2021,AW,5.5020,2.0750,2.0620,1.9920,1.8300,1.8160,1.9870,349.1,AW,3106,AW,8.90,20210312,2658,W,0.9745,99.63,0.0376,0.5267,4.6275,5.2,0.122,99.7001,99.5502,99.4003,99.8501,N,N,,,Zander,20210315.2,263.375,212.346,1.240,Jerome,20210315,20210315,Zander,,Jerome,Jerome,Jerome,22B1,3/15/2021,3,3/15/2021,5b,5a,5b,5a,5a,5a,5a,1,1,5a,2023,2,2,B,1,1.022,0.0508,-0.254,-0.5842,0.0762,0.381,0.0254,-0.0508
2024,25,123,7,26,11/2/2020,,15,SG47,21-A,0.23,7/1/2019,Emily,Saad,HCS,HCS-49,5A,1185,4910,3725,SA,10/16/2020,SA,8,110,25,d40g,2,10/16/2020,ET,6,10/22/2020,AW,5.5010,2.0830,2.0800,1.9930,1.8220,1.8080,1.9940,350.2,AW,3204,AW,9.15,20201022,2651,W,0.0000,99.36,0.0377,0.3018,1.6220,2.0,0.091,100,100.6,97.7511,99.1004,N,N,,,Erin,20201023.1,410.841,288.064,1.426,Erin,20201023,20201023,Erin,,Adin,Adin,Adin,15C1,10/23/2020,1,10/23/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2024,1,5,C,1,1.002,0.0254,-0.0508,-0.127,0.1016,0.1778,-0.1778,0.127
2025,26,123,7,26,11/2/2020,,15,SG47,21-A,0.25,7/2/2019,Saad,Emily,HCS,HCS-49,5C,1200,4990,3790,SA,10/16/2020,SA,8,110,25,d40g,1.5,10/16/2020,ET,6,10/22/2020,AW,5.5000,2.0830,2.0850,1.9930,1.8150,1.8180,1.9930,350.4,AW,3184,AW,9.09,20201022,2665,W,0.1125,99.89,0.0000,0.3002,2.8893,3.2,0.087,100,100.6,99.7001,99.2504,N,N,,,Erin,20201023.1,424.116,288.064,1.472,Erin,20201023,20201023,Erin,,Adin,Adin,Adin,15B1,10/23/2020,1,10/23/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2025,1,5,B,1,1.019,0,-0.0508,0,0.1016,0,0.0762,0.1016
2026,27,123,7,26,11/2/2020,,14,SG47,21-A,0.18,7/2/2019,Emily,Saad,HCS,HCS-49,5F,1195,4945,3750,SA,10/20/2020,SA,8,110,25,d40g,2,10/20/2020,ET,6,10/26/2020,AW,5.5000,2.0640,2.0690,1.9920,1.8020,1.8030,1.9930,347.5,AW,3170,AW,9.12,20201026,2658,W,0.1499,99.63,0.0376,0.7148,3.0474,3.8,0.126,99.5502,100,99.4003,99.5502,N,N,,,Mason,20201027.2,249.179,186.689,1.335,Adin,20201027,20201027,Mason,,Adin,Zander,Zander,14D2,10/27/2020,1,10/27/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,2026,1,4,D,2,1.008,0,-0.5334,-0.4064,0.0762,-0.3302,-0.3048,0.1016
2027,28,123,7,26,11/2/2020,,14,SG47,21-A,0.18,7/2/2019,Emily,Saad,HCS,HCS-49,5A,1190,4915,3725,SA,10/20/2020,SA,8,110,25,d40g,2.5,10/20/2020,ET,6,10/26/2020,AW,5.5000,2.0710,2.0800,1.9950,1.8060,1.8030,1.9880,348.3,AW,3144,AW,9.03,20201026,2661,W,0.0375,99.74,0.0000,0.0752,2.1421,2.2,0.105,99.8501,100,99.1004,100,N,N,,,Mason,20201027.2,236.302,186.689,1.266,Adin,20201027,20201027,Mason,,Adin,Zander,Zander,14A3,10/27/2020,1,10/27/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2027,1,4,A,3,1.002,0,-0.3556,-0.127,0.1524,-0.2286,-0.3048,-0.0254
2028,29,123,7,26,11/2/2020,,14,SG47,21-A,0.25,7/2/2019,Saad,Emily,HCS,HCS-49,5E,1195,4885,3690,SA,10/20/2020,SA,8,110,25,d40g,2,10/20/2020,ET,6,10/26/2020,AW,5.5000,2.0620,2.0780,1.9920,1.8070,1.8060,1.9950,348.3,AW,3150,AW,9.04,20201026,2660,W,0.2998,99.70,0.0752,0.8271,5.3759,6.3,0.138,99.8501,99.7001,99.8501,99.4003,N,N,,,Mason,20201027.2,229.81,186.689,1.231,Adin,20201027,20201027,Mason,,Adin,Zander,Zander,14B3,10/27/2020,1,10/27/2020,5b,5a,5b,5a,5a,5a,5a,1,1,5a,2028,1,4,B,3,0.992,0,-0.5842,-0.1778,0.0762,-0.2032,-0.2286,0.1524
2029,30,123,7,26,11/2/2020,,14,SG47,21-A,0.20,7/2/2019,Emily,Saad,HCS,HCS-49,5C,1200,4910,3710,SA,10/20/2020,SA,8,110,25,d40g,6,10/20/2020,ET,6,10/26/2020,AW,5.4990,2.0680,2.0670,1.9950,1.8100,1.8140,1.9930,348.6,AW,3174,AW,9.10,20201026,2657,W,0.4123,99.59,0.0753,0.4516,3.9518,4.5,0.127,100,100.45,99.1004,98.8006,N,N,,,Mason,20201027.2,258.972,186.689,1.387,Adin,20201027,20201027,Mason,,Adin,Zander,Zander,14C3,10/27/2020,1,10/27/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2029,1,4,C,3,0.998,-0.0254,-0.4318,-0.4572,0.1524,-0.127,-0.0254,0.1016
2030,31,123,7,27,11/17/2020,,15,SG47,21-A,0.25,7/2/2019,Saad,Emily,HCS,HCS-50,5A,1185,4875,3690,SA,10/22/2020,SA,8,110,25,d40g,2,10/22/2020,ET,6,10/28/2020,AW,5.5000,2.0830,2.0810,1.9960,1.8080,1.8080,1.9950,349.9,AW,3192,AW,9.12,20201028,2664,N,0.2624,99.85,0.0751,1.0135,3.8288,4.9,0.129,99.7001,99.5502,100,100.15,N,N,,,Mina,20201029.1,266.256,200.716,1.327,Erin,20201030,20201029,Mina,,Adin,Adin,Adin,15A1,10/29/2020,1,10/30/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2030,1,5,A,1,0.992,0,-0.0508,-0.1016,0.1778,-0.1778,-0.1778,0.1524
2031,32,123,7,36,3/2/2021,,23,SG47,21-A,0.18,7/2/2019,Emily,Saad,HCS,HCS-64,7A,1205,4815,3610,SA,2/5/2021,SA,9,110,25,d40g,2,2/5/2021,ET,18,2/23/2021,AW,5.4980,2.0830,2.0630,1.9870,1.8300,1.8170,1.9890,349.0,AW,3144,AW,9.01,20210223,2598,W,0.1124,97.38,0.3079,2.0785,5.5427,7.9,0.159,94.9025,98.8006,97.6012,98.2009,N,N,,,Jerome,20210223.1,168.099,161.061,1.044,Vrishin,20210223.2,20210223,Mina,,Adin,Adin,Zander,23D1,2/23/2021,0,2/23/2021,5b,5a,5b,5b,5b,5a,5a,1,1,5b,2031,2,3,D,1,0.971,-0.0508,-0.0508,-0.5588,-0.0508,0.381,0.0508,0
2032,33,123,7,27,11/17/2020,,15,SG47,21-A,0.21,7/2/2019,Saad,Emily,HCS,HCS-50,5E,1185,4845,3660,SA,10/22/2020,SA,8,110,25,d40g,2,10/22/2020,ET,6,10/28/2020,AW,5.5030,2.0740,2.0760,1.9900,1.8160,1.8150,1.9950,349.6,AW,3166,AW,9.06,20201028,2662,W,0.5997,99.78,0.1503,1.7656,8.0766,10.0,0.172,100.15,100,99.7001,99.2504,N,N,,,Mina,20201029.1,241.981,200.716,1.206,Erin,20201030,20210315,Zander,,Adin,Adin,Adin,15D2,10/29/2020,1,10/30/2020,5a,5a,5a,5a,5a,5a,5a,1,1,5a,2032,1,5,D,2,0.984,0.0762,-0.2794,-0.2286,0.0254,0.0254,0,0.1524
