sector, block, dbn, mpv, mpv_err, ch0_mpv, ch0_mpv_err, ch1_mpv, ch1_mpv_err, ch2_mpv, ch2_mpv_err, ch3_mpv, ch3_mpv_err
2, 16, 269, 168.142323, 10.927475, , , , , 170.268624, 8.477333, 166.016021, 13.377617
2, 17, 293, 321.254208, 7.393035, 354.077694, 7.881064, 288.430722, 6.905006, , , , 
2, 18, 134, 218.805805, 7.697754, 226.438317, 6.633034, 226.133774, 6.059631, 175.626692, 10.676957, 247.024436, 7.421393
2, 19, 297, 300.141206, 11.212705, 275.533119, 13.381143, 275.443733, 6.580234, 342.692444, 14.254080, 306.895531, 10.635365
2, 20, 290, 298.695138, 8.245873, , , , , 331.063852, 7.450224, 266.326424, 9.041522
2, 21, 313, 262.437083, 8.323255, 273.630603, 9.407281, 251.243562, 7.239228, , , , 
2, 22, 314, 306.947332, 7.822975, 334.792303, 6.196652, 272.306203, 7.373425, 290.675776, 8.760974, 330.015045, 8.960848
2, 23, 312, 356.305697, 9.301061, 370.955565, 15.493654, 350.962844, 7.237404, 348.302374, 8.128938, 355.002004, 6.344247
2, 24, 307, 303.480136, 5.590648, , , , , 318.306523, 4.711833, 288.653749, 6.469462
2, 25, 331, 254.918245, 8.107624, 251.642995, 6.813084, 258.193496, 9.402165, , , , 
2, 26, 311, 279.085822, 8.041271, 282.241858, 11.960199, 284.705920, 6.495411, 284.326812, 6.731414, 265.068697, 6.978059
2, 27, 327, 333.203320, 6.088363, 330.198843, 4.176076, 349.027381, 6.457837, 339.093320, 6.381082, 314.493736, 7.338455
2, 28, 330, 259.084044, 7.183512, , , , , 261.835381, 9.020231, 256.332707, 5.346793
2, 29, 346, 300.223402, 6.445877, 319.317239, 7.217570, 281.129566, 5.674184, , , , 
2, 30, 338, 250.350914, 5.486813, 257.989631, 5.569842, 242.721289, 5.666724, 256.885187, 5.517557, 243.807548, 5.193128
2, 31, 1128, 315.458377, 7.685746, 308.249091, 8.749993, 316.733696, 6.369152, 335.903838, 8.089001, 300.946883, 7.534839
2, 32, 347, 346.184030, 6.979345, , , , , 351.544225, 5.466200, 340.823835, 8.492490
2, 33, 357, 234.704645, 6.507209, 267.936501, 7.338552, 201.472789, 5.675866, , , , 
2, 34, 354, 252.666956, 7.373317, 266.060322, 6.764052, 260.888329, 6.739431, 253.135015, 8.409625, 230.584157, 7.580158
2, 35, 358, 345.083593, 10.137799, 372.110590, 7.103168, 335.104891, 7.453399, 350.476853, 17.139335, 322.642039, 8.855295
2, 36, 1110, 347.816881, 6.027216, , , , , 341.344415, 6.309760, 354.289346, 5.744672
2, 37, 1087, 251.317645, 5.025316, 268.901115, 5.673665, 233.734174, 4.376968, , , , 
2, 38, 1078, 303.363924, 5.913070, 297.785806, 5.197524, 286.681248, 4.786581, 326.998586, 7.570887, 301.990057, 6.097287
2, 39, 372, 246.700466, 7.348269, 248.017652, 5.933114, 253.003960, 6.515232, 240.676253, 6.656815, 245.103999, 10.287913
2, 40, 1072, 237.185097, 6.027480, , , , , 219.020282, 5.969600, 255.349913, 6.085361
2, 41, 1061, 346.851124, 6.512115, 365.538431, 7.362073, 328.163817, 5.662157, , , , 
2, 42, 390, 305.077000, 8.620729, 309.142131, 5.727422, 292.194809, 17.794671, 328.278263, 5.698380, 290.692796, 5.262443
2, 43, 1034, 355.922927, 5.748411, 388.311135, 6.687958, 386.367110, 5.652891, 329.967192, 5.687484, 319.046272, 4.965312
2, 44, 388, 273.941498, 5.474071, , , , , 298.774982, 5.607631, 249.108014, 5.340510
2, 45, 1009, 284.835523, 4.838766, 275.882407, 4.865296, 293.788638, 4.812235, , , , 
2, 46, 1014, 344.740237, 5.667381, 348.622149, 5.766331, 318.199629, 3.975008, 369.251423, 6.403211, 342.887748, 6.524974
2, 47, 409, 322.944997, 5.267636, 329.002721, 6.871651, 315.147879, 3.704982, 312.237299, 5.365894, 335.392087, 5.128016
2, 48, 417, 282.254459, 4.536484, , , , , 291.782595, 4.936201, 272.726323, 4.136767
2, 49, 423, 268.658562, 6.240936, 263.783770, 6.738266, 273.533354, 5.743605, , , , 
2, 50, 422, 295.622338, 8.182526, 318.741106, 7.807607, 296.829810, 13.702837, 310.851568, 5.561301, 256.066868, 5.658360
2, 51, 414, 272.727685, 6.346942, 286.077624, 5.928907, 294.335342, 5.648544, 272.818429, 6.255996, 237.679345, 7.554321
2, 52, 419, 271.830760, 7.346628, , , , , 254.389641, 7.595409, 289.271878, 7.097848
2, 53, 442, 227.669909, 10.640463, 220.620724, 7.078246, 234.719094, 14.202680, , , , 
2, 54, 435, 229.229409, 5.080203, 232.240169, 4.508884, 214.264597, 4.606452, 242.360231, 4.831129, 228.052639, 6.374349
2, 55, 948, 276.663468, 5.563887, 304.008950, 6.532279, 290.744009, 5.108138, 265.809137, 5.343334, 246.091775, 5.271797
2, 56, 946, 221.568843, 4.795980, , , , , 217.125725, 4.681394, 226.011961, 4.910566
2, 57, 461, 282.926945, 6.437460, 300.210567, 7.027101, 265.643324, 5.847819, , , , 
2, 58, 464, 202.309284, 5.698602, 188.973469, 5.830821, 218.339935, 6.768343, 202.990388, 5.688113, 198.933345, 4.507130
2, 59, 459, 222.731553, 6.593681, 236.408703, 5.441467, 195.823918, 4.434794, 229.617076, 9.521348, 229.076516, 6.977115
2, 60, 910, 243.270812, 6.798142, , , , , 264.967210, 6.196454, 221.574415, 7.399830
2, 61, 468, 274.447596, 5.815329, 291.710526, 6.831058, 257.184666, 4.799599, , , , 
2, 62, 467, 285.286317, 4.835722, 310.147530, 5.057237, 260.835812, 4.364631, 299.404107, 4.430004, 270.757820, 5.491015
2, 63, 881, 281.969198, 5.083881, 280.970700, 5.342072, 304.261896, 5.070986, 253.680161, 4.776095, 288.964036, 5.146372
2, 64, 478, 255.250918, 5.997312, , , , , 258.674937, 6.594141, 251.826899, 5.400482
2, 65, 483, 188.251900, 30.584124, 231.968977, 16.381144, 144.534823, 44.787105, , , , 
2, 66, 493, 254.174691, 9.751393, 266.198270, 8.631339, 221.044742, 7.448454, 278.816175, 15.692339, 250.639577, 7.233438
2, 67, 484, 239.969103, 13.579260, 278.474785, 6.994730, 238.893623, 12.719617, 198.939003, 22.700477, 243.569003, 11.902217
2, 68, 482, 279.080963, 9.469227, , , , , 298.363501, 9.530400, 259.798425, 9.408053
2, 69, 507, 373.016584, 15.606472, 404.719049, 17.657700, 341.314120, 13.555245, , , , 
2, 70, 502, 294.830436, 13.533555, 333.554074, 10.335161, 301.945585, 10.451511, 277.728376, 19.630768, 266.093710, 13.716782
2, 71, 498, 247.682162, 10.197159, 243.269832, 13.146974, 252.535472, 9.188372, 252.593640, 8.302934, 242.329705, 10.150357
2, 72, 834, 282.531643, 19.761039, , , , , 282.870945, 29.588675, 282.192341, 9.933403
2, 73, 787, 277.283692, 13.124337, 294.380100, 15.101024, 260.187284, 11.147650, , , , 
