DBN, MPV
554, 319.503104
621, 330.691405
744, 308.490548
1507, 230.968422
750, 315.938158
1508, 280.715872
680, 351.933582
653, 358.731123
652, 209.788037
645, 241.454661
632, 272.078307
630, 259.675481
616, 261.415822
665, 224.509292
730, 281.240993
698, 256.548848
739, 100.325807
1308, 293.397364
1305, 298.685580
1291, 374.119758
1288, 324.373044
1330, 289.979619
1328, 324.774554
1326, 386.287470
1353, 236.762050
1348, 96.678281
1334, 357.888205
565, 228.131637
646, 280.125451
642, 261.656383
613, 214.705389
612, 169.373934
610, 353.333991
1543, 280.558601
1538, 258.302966
1537, 325.452306
1292, 318.058779
1289, 362.588035
1295, 363.326336
1354, 361.041007
1336, 339.771211
1350, 321.122309
1403, 314.936259
1294, 315.198669
1360, 234.956398
1444, 270.089209
1445, 294.963369
1266, 297.695044
1264, 267.552699
1450, 286.708357
1250, 294.312434
1239, 285.847051
1228, 269.598403
1218, 258.888166
1203, 250.607820
1197, 269.120479
1192, 235.169350
1424, 281.469525
1421, 234.645103
1423, 231.817019
1175, 270.711351
1428, 259.516503
1430, 273.664864
1432, 310.830486
1433, 232.106825
1458, 243.708690
1112, 274.035640
1459, 273.206066
1455, 206.733797
1372, 217.513814
1371, 233.920252
1463, 274.817514
1462, 233.914492
1028, 241.040824
1031, 304.615059
1470, 311.380652
1469, 322.929090
1479, 306.681386
1006, 268.568748
1478, 209.767204
1021, 189.327480
985, 342.767870
973, 277.909760
1376, 328.186878
1481, 311.025153
1487, 211.613712
1492, 229.709666
1490, 239.680476
954, 287.544350
920, 255.050788
922, 233.994134
908, 179.435015
919, 322.648478
889, 200.947557
883, 565.056950
890, 289.018321
884, 281.552515
865, 204.094808
852, 215.279003
842, 257.019833
857, 426.297874
1498, 217.217024
1499, 212.372078
826, 317.789094
1387, 300.870382
1386, 278.636040
803, 171.995724
804, 326.546125
800, 258.156157
1389, 318.177155
622, 248.545142
625, 231.483471
595, 297.143371
1512, 282.365067
1510, 303.277410
1511, 296.433514
1513, 297.781616
1521, 290.935698
1517, 341.288950
1524, 318.729542
1519, 233.949066
1528, 334.545028
1531, 249.983254
1530, 263.810189
1529, 325.458963
1540, 216.030011
701, 354.752740
694, 299.820191
