dbn,mpv
385,304.422
3859,308.142
386,180.626
3868,361.3
387,278.136
388,306.405
3884,366.919
389,247.694
390,276.446
391,186.944
392,314.278
393,275.795
3945,339.71
395,249.619
3953,375.092
396,245.776
3961,323.003
398,147.737
399,269.51
4004,357.881
401,218.626
402,242.203
4049,325.248
405,255.029
4051,321.599
406,185.975
407,199.261
408,257.573
409,324.365
410,233.684
4100,346.956
4104,283.274
411,288.5
413,261.696
414,278.931
4146,288.097
415,242.173
416,287.634
417,345.931
418,301.269
419,310.026
420,240.532
421,230.637
422,291.325
423,229.621
424,262.488
425,300.035
427,247.735
429,208.588
431,239.874
432,278.285
434,240.665
435,223.91
436,187.912
439,253.187
440,271.008
441,255.933
442,291.215
443,335.514
444,208.53
446,203.355
447,260.201
449,342.882
450,273.89
451,310.947
452,214.084
453,252.707
454,299.632
455,227.361
456,254.95
457,206.821
458,277.981
459,228.371
460,170.456
461,278.094
462,213.65
463,254.505
464,256.174
465,247.519
466,235.488
467,258.542
468,220.79
469,188.53
470,193.27
472,307.293
473,271.504
474,261.714
475,305.746
477,227.415
478,287.618
480,264.116
481,265.667
482,260.909
483,371.306
484,245.228
485,271.798
486,242.728
487,300.161
488,292.172
489,268.394
490,306.191
492,222.767
493,286.632
494,286.53
495,216.763
498,254.944
499,317.607
500,285.514
501,267.761
502,284.393
505,186.127
507,277.74
508,257.722
510,238.6
512,268.211
516,247.168
518,254.598
520,257.864
521,199.15
522,257.644
523,202.53
524,260.017
525,214.605
526,231.559
527,291.546
528,299.974
529,267.625
530,200.426
531,203.834
532,208.901
533,410.17
536,365.347
537,325.301
538,289.385
539,289.437
540,276.358
541,263.898
542,195.194
544,261.802
545,286.34
546,335.341
547,335.914
548,304.523
549,307.272
550,278.282
552,298.618
553,234.96
554,319.503
556,301.374
557,273.15
558,353.17
559,316.789
560,312.196
561,233.426
562,279.936
563,245.157
564,380.613
565,415.937
566,313.856
567,328.884
569,332.409
570,291.528
571,193.819
574,241.001
575,228.622
576,264.83
577,292.526
578,312.93
579,275.681
580,348.449
581,273.958
582,253.786
583,298.681
584,224.686
585,328.51
587,244.351
588,241.976
589,250.178
591,184.811
592,296.54
593,250.241
595,297.143
596,176.657
598,243.585
600,319.858
602,203.992
604,241.604
605,225.323
607,291.728
609,237.155
610,373.557
611,262.162
612,346.21
613,345.095
614,223.854
615,221.642
616,261.416
617,170.881
618,334.157
619,333.724
620,255.143
621,330.691
622,248.545
623,272.767
624,230.028
625,231.483
626,274.142
627,156.841
628,260.34
629,210.61
630,259.675
631,307.318
632,272.078
633,270.519
635,230.44
636,360.543
637,310.391
638,248.262
639,292.712
640,231.58
642,305.644
643,298.508
644,282.469
645,241.455
646,329.038
647,181.317
648,252.597
649,277.953
650,285.499
651,213.954
652,209.788
653,358.731
654,223.608
655,268.552
657,246.559
658,295.2
659,221.276
661,239.787
663,178.657
665,224.509
666,265.515
668,343.374
670,240.68
671,237.075
672,355.764
673,229.269
674,225.94
675,269.303
676,298.185
677,189.361
678,263.968
679,318.348
680,351.934
681,233.622
682,212.205
683,314.52
684,184.845
686,319.966
687,204.351
689,294.283
690,386.403
691,256.352
692,212.34
694,299.82
695,273.862
698,256.549
699,224.062
700,255.912
701,354.753
704,282.372
706,214.366
714,312.852
715,246.627
716,220.024
718,330.348
719,243.485
720,320.628
721,278.628
723,252.267
724,292.954
725,16.4912
730,281.241
732,287.768
735,126.411
737,313.029
739,100.326
740,233.432
741,248.096
744,308.491
745,202.184
746,265.534
747,337.942
748,284.834
750,315.938
751,246.393
753,307.296
754,307.427
755,370.325
756,235.139
757,282.906
760,229.545
761,256.819
763,337.626
764,364.715
765,226.832
768,217.517
769,242.744
770,296.939
771,188.33
773,292.083
774,281.793
776,243.548
777,270.303
778,268.826
779,301.888
780,279.009
782,293.34
783,236.874
784,205.131
785,230.431
786,309.984
787,349.29
788,248.512
789,323.698
790,258.32
791,262.676
792,1.12524
793,228.183
794,237.242
795,335.109
796,220.675
797,213.65
798,278.403
799,237.264
800,258.156
802,254.295
803,171.996
804,326.546
805,255.719
806,218.419
807,304.096
808,192.2
809,348.798
810,265.693
812,342.958
813,249.898
814,305.923
815,258.936
816,267.56
819,338.852
820,195.899
821,285.146
822,283.856
823,247.465
825,254.865
826,317.789
827,307.07
828,226.721
829,243.137
830,318.13
831,395.195
833,237.762
834,290.842
835,247.727
838,252.941
839,232.033
841,268.712
842,257.02
843,233.762
844,313.345
846,375.729
847,318.288
848,693.571
849,243.83
850,223.818
851,288.619
852,215.279
854,190.723
856,262.36
857,426.298
858,228.502
860,234.024
861,379.497
862,210.91
863,304.435
864,226.078
865,204.095
866,145.153
867,164.292
868,275.681
870,363.697
871,246.062
873,275.027
874,275.241
875,174.703
877,357.151
878,276.351
879,300.657
881,285.209
882,281.724
883,565.057
884,281.553
885,282.544
886,333.894
887,284.437
888,210.708
889,200.948
890,289.018
891,243.992
892,217.4
893,222.86
894,248.884
895,240.537
896,351.528
897,284.416
898,294.724
899,331.964
900,318.246
901,252.023
902,236.994
903,349.145
904,237.576
905,241.669
906,297.149
908,179.435
909,191.293
910,207.156
911,260.418
912,199.507
913,176.766
914,281.527
915,322.207
916,209.494
917,237.355
918,236.523
919,322.648
920,255.051
921,278.414
922,233.994
923,266.053
924,201.701
925,264.233
927,204.387
928,317.2
929,304.15
930,346.497
932,256.069
933,328.058
935,222.937
937,207.424
938,275.236
939,296.74
940,340.688
941,228.01
942,183.704
943,236.579
944,192.366
945,317.311
946,231.583
947,259.184
948,283.884
949,200.61
951,248.98
952,266.448
953,260.11
954,287.544
955,239.058
956,284.068
957,288.673
959,275.739
960,343.205
961,241.235
962,214.38
963,219.785
964,395.673
965,259.87
966,287.671
967,294.153
968,207.672
969,254.891
970,273.23
972,223.016
973,277.91
974,285.103
975,201.777
976,269.777
977,273.526
978,264.732
979,233.391
980,216.164
981,385.193
982,261.263
983,132.269
984,259.024
985,342.768
986,314.68
987,219.958
988,246.305
989,238.817
991,228.597
992,216.251
993,270.447
994,206.504
995,190.372
997,321.881
998,256.922
999,277.858
