,,D,C,B,A
,20,69.23,69.23,69.23,69.23
,21,69.23,69.23,69.23,69.23
,22,69.23,69.23,69.23,69.23
,23,69.23,69.23,69.23,69.23
,24,69.23,69.23,69.23,69.23
sector_16,1,69.23,69.23,69.23,69.23
,2,69.23,69.23,69.23,69.23
,3,69.23,69.23,69.23,69.23
,4,69.23,69.23,69.23,69.23
,5,69.23,69.23,69.23,69.23
,6,69.23,69.23,69.23,69.23
,7,69.23,69.23,69.23,69.23
,8,69.23,69.23,69.23,69.23
,9,69.23,69.23,69.23,69.23
,10,69.23,69.23,69.23,69.23
,11,69.23,69.23,69.23,69.23
,12,69.23,69.23,69.23,69.23
,13,69.23,69.23,69.23,69.23
,14,69.23,69.23,69.23,69.23
,15,69.23,69.23,69.23,69.23
,16,69.23,69.23,69.23,69.23
,17,69.23,69.23,69.23,69.23
,18,69.23,68.93,68.93,68.93
,19,68.93,68.93,68.93,68.93
,20,68.93,68.93,68.93,68.93
,21,68.93,68.93,68.93,68.93
,22,68.93,68.93,68.93,68.93
,23,68.93,68.93,68.93,69.28
,24,68.93,68.93,68.93,68.93
sector_17,1,68.93,68.93,68.93,68.93
,2,68.93,68.93,68.93,68.93
,3,68.93,68.93,68.93,68.93
,4,68.93,68.93,68.93,68.93
,5,68.93,68.93,68.93,68.93
,6,68.93,68.93,68.93,68.93
,7,68.93,68.93,68.93,68.93
,8,68.93,68.93,68.93,68.93
,9,68.93,68.93,68.93,68.93
,10,68.93,68.93,68.93,68.93
,11,68.93,68.93,68.93,68.93
,12,68.93,68.93,68.93,68.93
,13,68.93,68.93,68.93,68.93
,14,68.93,68.93,68.93,68.93
,15,68.93,68.93,68.93,68.93
,16,68.93,68.93,68.93,68.93
,17,68.93,68.93,68.93,68.93
,18,68.93,68.93,68.93,68.93
,19,68.93,68.93,68.93,68.93
,20,68.93,68.93,68.93,68.93
,21,68.93,68.93,68.93,68.93
,22,68.93,68.93,68.93,68.93
,23,68.93,68.93,68.93,68.93
,24,68.93,68.93,68.93,68.93
sector_18,1,68.93,68.93,68.63,68.93
,2,68.93,68.93,68.93,68.93
,3,68.93,68.93,68.93,68.93
,4,68.93,68.93,68.93,68.93
,5,68.93,68.93,68.93,68.93
,6,68.93,68.93,68.93,68.93
,7,68.93,68.93,68.93,68.93
,8,68.93,68.93,68.93,68.93
,9,68.93,68.93,68.93,68.93
,10,68.93,68.93,68.93,68.93
,11,68.93,68.93,68.93,68.93
,12,68.93,68.93,68.93,68.93
,13,68.93,68.93,68.93,68.93
,14,68.63,68.93,68.93,68.93
,15,68.93,68.93,68.93,68.93
,16,69.48,69.48,69.48,69.48
,17,69.48,69.48,68.63,68.63
,18,68.63,68.63,68.63,68.63
,19,68.63,68.63,69.48,68.63
,20,69.48,69.48,68.63,69.48
,21,68.63,68.63,68.63,68.63
,22,69.48,68.63,68.63,68.63
,23,69.48,69.48,68.63,69.48
,24,69.48,69.48,69.48,69.48
sector_19,1,68.63,68.63,68.63,68.63
,2,68.63,69.48,68.63,68.63
,3,68.63,68.63,68.63,69.48
,4,68.63,68.63,68.63,68.63
,5,68.63,69.48,68.63,68.63
,6,68.63,68.63,69.48,68.63
,7,68.63,68.63,68.63,68.63
,8,68.63,68.63,68.63,68.63
,9,68.63,68.63,68.63,68.63
,10,68.63,68.63,68.63,68.63
,11,68.63,68.63,68.63,68.63
,12,68.63,68.63,68.63,68.63
,13,68.63,69.48,68.63,69.48
,14,68.63,68.63,68.63,68.63
,15,68.63,69.48,69.48,68.63
,16,68.63,68.63,68.63,68.63
,17,68.63,68.63,68.63,68.63
,18,68.63,68.63,68.63,68.63
,19,68.63,68.63,68.63,68.63
,20,68.63,68.63,68.63,68.63
,21,68.63,68.63,68.63,68.63
,22,68.63,68.63,68.63,68.63
,23,68.63,68.63,68.63,68.63
,24,69.48,68.63,69.48,68.63
sector_21,1,69.53,69.53,69.53,69.53
,2,69.53,69.53,69.53,69.53
,3,69.53,69.53,69.53,69.53
,4,69.53,69.53,69.53,69.53
,5,69.53,69.53,69.53,69.53
,6,69.53,69.53,69.53,69.53
,7,69.53,69.53,69.53,69.53
,8,69.53,69.53,69.53,69.53
,9,68.78,68.78,68.78,68.78
,10,68.78,68.78,68.78,68.78
,11,68.78,68.78,68.78,68.78
,12,68.78,68.78,68.78,68.78
,13,68.78,68.78,68.78,68.78
,14,69.53,69.53,69.53,68.78
,15,69.53,69.53,69.53,69.53
,16,69.53,69.53,69.53,69.53
,17,69.53,69.53,69.53,69.53
,18,69.53,69.53,69.53,69.53
,19,69.53,69.53,69.53,69.53
,20,69.53,69.53,69.53,69.53
,21,69.53,69.53,69.53,69.53
,22,69.53,69.53,69.53,69.53
,23,69.53,69.53,69.53,69.53
,24,69.53,69.53,69.53,69.53
